"","X.2","X.1","X","year","title","excerpt","candidate","relevant","name"
"43",606,13450,13450,2008,"<blockquote>The campaign does not comment on strategic decisions regarding how financial resources available to the campaign are spent.""</blockquote> --Was Maria Comella, spokesperson for the McCain-Palin campaign, addressing ad spending? Travel for the candidates? Why no. They were responding to <a href=""http://www.politico.com/news/stories/1008/14805.html"" target=""new"">Politico.com's</a> Jeanne Cummings question about Sarah Palin's $150,000+ clothing allowance, courtesy of the RNC. We've come a long way from headbands and pantsuits, baby. Sarah Palin's Fashion Allowance","",1,1,"Palin"
"44",607,13456,13456,2008,"Should taxpayers really be paying for Sarah Palin’s red leather jackets and stiletto boots? Check Here to Contribute $3 to the Vice-Presidential Fashion Fund","",1,1,"Palin"
"45",608,13459,13459,2008,"According to a report, the Republican National Committee paid more than $150,000 for clothing, makeup and accessories in September that apparently went to Gov. Sarah Palin and her family. If You Don't Look Good, We Don't Look Good","",1,1,"Palin"
"46",626,13636,13636,2008,"The Moment is shocked, shocked!, to learn there’s a small business in Park Slope showing support for Obama. But unlike so many other pro-Dem cocktails or accessories, the Medusa Hair Salon is offering its customers the chance to reach across the aisle and reach for the hair spray at the same time. According to the Oct. 13 Guardian, for every customer who comes in for a Sarah Palin updo, Medusa will donate the $75 price to the Obama campaign. Cynical readers could write this off as an ironic prank, but is imitating Palin’s soignée style not the sincerest form of flattery? (And is aping the other candidates’ hair don’ts, from Obama’s monastic crop to Biden’s hair plugs to the McCombover, really helping anyone heal the partisan divide?) Just Asking | Bipartisan Beauty?","",1,1,"Palin"
"47",626,13636,13636,2008,"The Moment is shocked, shocked!, to learn there’s a small business in Park Slope showing support for Obama. But unlike so many other pro-Dem cocktails or accessories, the Medusa Hair Salon is offering its customers the chance to reach across the aisle and reach for the hair spray at the same time. According to the Oct. 13 Guardian, for every customer who comes in for a Sarah Palin updo, Medusa will donate the $75 price to the Obama campaign. Cynical readers could write this off as an ironic prank, but is imitating Palin’s soignée style not the sincerest form of flattery? (And is aping the other candidates’ hair don’ts, from Obama’s monastic crop to Biden’s hair plugs to the McCombover, really helping anyone heal the partisan divide?) Just Asking | Bipartisan Beauty?","",1,1,"Obama"
"48",626,13636,13636,2008,"The Moment is shocked, shocked!, to learn there’s a small business in Park Slope showing support for Obama. But unlike so many other pro-Dem cocktails or accessories, the Medusa Hair Salon is offering its customers the chance to reach across the aisle and reach for the hair spray at the same time. According to the Oct. 13 Guardian, for every customer who comes in for a Sarah Palin updo, Medusa will donate the $75 price to the Obama campaign. Cynical readers could write this off as an ironic prank, but is imitating Palin’s soignée style not the sincerest form of flattery? (And is aping the other candidates’ hair don’ts, from Obama’s monastic crop to Biden’s hair plugs to the McCombover, really helping anyone heal the partisan divide?) Just Asking | Bipartisan Beauty?","",1,1,"Biden"
"49",635,13697,13697,2008,"<p class=""centered""></p> <p align=""center""><img src=""http://graphics8.nytimes.com/images/blogs/themoment/posts/081008_obamabelt.jpg"" alt="""" /></p> <span class=""caption"">(Courtesy ObamaBelt.com)</span> The presidential campaign is getting ugly, and so is the fashion. Many have faulted Sarah Palin's severe suits and naughty-secretary up-do as the worst style statement of the election season. But Democrats are showing an ability to snatch defeat from the jaws of victory not seen since, well, the last two times they ran a guy for president.<!--more--> Witness the Obama Belt, a piece of partisan primping so fug it makes the humble campaign button look positively chic. For a hundred bucks, its proceeds, according to <a href=""http://ObamaBelt.com"" target=""new"">ObamaBelt.com</a>, will ""support swing state voter initiatives."" But the cost to your own wardrobe, as they say, is priceless. Says the Web site: ""With its classic urban styling"" — is that code for something? — ""the unisex belt is meant to reach those to whom news of fashion news of health care policy, economic recovery, Iraq and global warming."". Political Attire: The Obama Belt","",1,1,"Palin"
"50",653,13849,13849,2008,"Because of an editing error, an article on Tuesday about Senator Barack Obama’s comments on the hip-hop style of sagging pants and exposed underwear misstated the year that Bill Clinton was asked whether he wore boxers or briefs. The error also appeared in an article on March 8 about an interview Mr. Obama gave US Weekly. It was in 1994 that a member of an MTV audience asked President Clinton the question — not in 1992 while Mr. Clinton was campaigning for president. (For those who may have remembered the year but have forgotten Mr. Clinton’s answer, he preferred briefs","Mr. Obama refused to answer the question when asked by US Weekly.). Corrections: For the Record",1,1,"Obama"
"51",672,14021,14021,2008,"Apart from the trip to Washington to visit his new home, President-elect Barack Obama has been looking pretty casual of late. Loosening His Tie (Sort Of)","",1,1,"Obama"
"52",685,14253,14253,2008,"Several thousand dollars in charges at Atelier, which many had initially assumed to be a high-end men’s store in New York, may have been made at a trade show for women’s boutique buyers. A New Wrinkle in Palin Clothing Hubbub","",1,1,"Palin"
"53",783,16174,16174,2008,"The Republican candidate jokes about one of his most well-known features, his utterly never-mussed style. Romney: ‘Don’t Touch the Hair!’","",1,1,"Romney"
"54",809,16463,16463,2008,"US Weekly has Senator Hillary Rodham Clinton’s own picks of her all-time worst outfits, Monday’s Times reports: It Takes a Pantsuit","",1,1,"Clinton"
"55",827,16690,16690,2008,"Senator Hillary Rodham Clinton has weathered criticisms of her hair, her clothes and even necklines. Last week, she decided to join the ranks of her own fashion police. Hillary Clinton as the Fashion Police: My Polka-Dot Dress Should Be Arrested","",1,1,"Clinton"
"56",845,16884,16884,2008,"Mitt Romney took off his white shirt, tie and blue suit (at least the jacket) to don a guayabera at a Cuban-American event. Romney Goes Casual","",1,1,"Romney"
"57",856,17028,17028,2008,"— Dana Milbank in the June 4 Washington Post, on the new choice of accessory by former flag-pin-shunner Barack Obama, worn to his address to the American Israel Public Affairs Committee. Quote Unquote | Obama’s Star Power","",1,1,"Obama"
"58",912,18177,18177,2008,"The Times did a reasonably good job in avoiding sexism in its news articles about Hillary Clinton, but there were exceptions. Pantsuits and the Presidency","",1,1,"Clinton"
"59",925,18532,18532,2008,"Maureen Dowd’s column last Wednesday incorrectly reported that Barack Obama accepted bowling shoes as a gift from Bob Casey. Mr. Obama gave bowling shoes to Mr. Casey. Correction","",1,1,"Obama"
"60",955,18977,18977,2008,"Barack Obama announces the endorsement of John Edwards, visits an auto factory and wears a flag pin in a new outreach to white, working-class voters. The Early Word: The Blue-Collar Effect","",1,1,"Obama"
"61",957,19002,19002,2008,"The Democratic candidate bats back questions about his religion, and wears a flag pin, and takes on the 8-ball. Obama Cues Up to Play Pool","",1,1,"Obama"
"62",972,19297,19297,2008,"Hillary Rodham Clinton delivers the Top 10 reasons she loves America tonight on David Letterman’s show. Here’s Your Pantsuit Joke …","",1,1,"Clinton"
"63",978,19347,19347,2008,"Mike Gravel goes after Obama girl’s vote, Barack Obama wears blue jeans, and other bizarre Web videos. Friday Happy Hour: Gravel Woos Obama Girl","",1,1,"Obama"
"64",1110,2762,42988,2011,"President Obama has accomplished something extraordinary during his Hawaiian escape from Washington: his White House has gone dark for more than a week. Obama Is Serious About His Vacation. And, Please, No Shirtless Shots.","",1,1,"Obama"
"65",1207,4676,44902,2011,"Mitt Romney’s longtime stylist says his customer prefers a “very controlled” look for his his most distinctive physical feature. Image Expert Shapes Romney (His Hair, Anyway)","",1,1,"Romney"
"66",1208,4682,44908,2011,"What do Mitt Romney’s hair and classic tailoring have in common? They are handled by people who know what they are doing. Don’t Complicate It","",1,1,"Romney"
"67",1321,6849,47075,2011,"After Michele Bachmann reportedly identified her shoes as a source of migraines, high heel devotees in the city came to the defense of their footwear. What Migraines? New Yorkers Defend Their High Heels","",1,1,"Bachmann"
"68",1352,7660,47886,2011,"Her campaign’s controlling instincts go beyond the candidate’s makeup and wardrobe. In Campaigning, Bachmann Controls Her Image","",1,1,"Bachmann"
"69",1373,8030,48256,2012,"Mitt Romney and fellow students at a Michigan prep school in the 1960s tackled a student perceived as gay, and Mr. Romney cut off his long blond hair, five former students told The Washington Post. Romney Apologizes After Reports of Bullying Emerge","",1,1,"Romney"
"70",1378,8082,48308,2012,"The vice presidential hopeful generates buzz with his body. Media Hunt for Shirtless Photo of Ryan","",1,1,"Ryan"
"71",1383,8182,48408,2012,"There is already a lot of amorous language for Paul Ryan, but his suits could use an adjustment. Embracing the Right Fit","",1,1,"Ryan"
"72",1387,8230,48456,2012,"Mitt Romney likes inexpensive shirts sold by Costco. Romneys Talk Issues, and Fashion, in Joint Interview","",1,1,"Romney"
"73",1736,13683,53909,2012,"A photograph of a young black boy feeling President Obama’s hair has been on view in the West Wing for years. When a Boy Found a Familiar Feel in a Pat of the Head of State","",1,1,"Obama"
"74",1974,481,73009,2015,"Like many politicians, Chris Christie, the New Jersey governor, has a formula. Spoiler: It involves jacket tossing and wise words from his mom. The Anatomy of a Christie Town Hall","",1,1,"Christie"
"75",1985,619,73147,2015,"Hillary Rodham Clinton dished out some news on her philosophy of financial regulation, proclaimed her love of pantsuits and threw some jabs at her Republican rivals in her inaugural Facebook chat as a presidential candidate on Monday. In Facebook Chat, Hillary Clinton Tells of Her Love of Pantsuits, and Jabs Her Rivals","",1,1,"Clinton"
"76",2006,9301,73458,2015,"Hillary Rodham Clinton’s first post on Instagram features a rack full of red, white and blue jackets of the pants suits she is known for — a play on her memoir, “Hard Choices.” Hillary Clinton’s Hard Choice: Her First Instagram Post","",1,1,"Clinton"
"77",2048,1481,74009,2015,"No jacket. No tie. The politician declared his presidential candidacy in shirtsleeves. Jeb Bush Makes a Major Fashion Statement","",1,1,"Bush"
"78",2049,1482,74010,2015,"Jeb Bush becomes the first candidate in his family, and possibly the first candidate in modern history, to announce his bid for the United States’ highest office in … shirtsleeves. From Style: Casual Jeb Bush","",1,1,"Bush"
"79",2056,1571,74099,2015,"As the Republicans prepared to take the debate stage, Mrs. Clinton took the stage in New York to tape the “Tonight Show With Jimmy Fallon” and took a phone call from Mr. Trump, as portrayed by Mr. Fallon wearing a blonde wig. Hillary Clinton Visits ‘Tonight Show’ and Takes Advice From Jimmy Fallon’s Donald Trump","",1,1,"Trump"
"80",2059,1618,74146,2015,"Carly Fiorina is not the only person who wants to bring the skirt suit back to fashion. Plus: Moschino goes on the road crew, while Emporio Armani plays with aesthetics and Etro revels in romance. At Prada, Reinventing the Power Suit","",1,1,"Fiorina"
"81",2077,1832,74360,2015,"Trump v Voodoo. The Hair and the Houngans","",1,1,"Trump"
"82",2098,2215,74743,2015,"The presidential candidate on socialism, Donald Trump and Hillary Clinton’s hair. Bernie Sanders Has Heard About That Hashtag","",1,1,"Clinton"
"83",2098,2215,74743,2015,"The presidential candidate on socialism, Donald Trump and Hillary Clinton’s hair. Bernie Sanders Has Heard About That Hashtag","",1,1,"Trump"
"84",2109,2377,74905,2015,"He’d better hurry up if he wants to finish ahead of Donald Trump and a raucous Republican field. Jeb Bush’s Slog: The Tortoise and the Hair","",1,1,"Trump"
"85",2148,2820,75348,2015,"Donald J. Trump brought his free-association presidential campaign to Greenville, S.C., even inviting a woman in the crowd to pull on his hair. Pull on My Hair, Donald Trump Says: ‘I Don’t Wear a Toupee’","",1,1,"Trump"
"86",2217,37151,76243,2015,"After meeting (in full suit) with state lawmakers at a diner in Manchester, N.H., on Wednesday, Senator Rand Paul of Kentucky made a pro-Second Amendment fashion statement for a gun-rights rally at the Londonderry Fish and Game Club. Slipping Into Something a Little More Political","",1,1,"Paul"
"87",2440,6383,78911,2015,"Mr. Trump said that President Obama’s concerns about the environment were infringing on his rights as a consumer. Donald Trump Laments Loss of Aerosol Sprays to Frame His Hair","",1,1,"Trump"
"88",2569,7552,80080,2016,"At the Public Theater’s gala, the actress’s skin had a certain orange hue, and her hair was sprayed blond and went about a half-foot high. Meryl Streep’s Newest Role: Donald Trump (but Just for One Night)","",1,1,"Trump"
"89",2583,7672,80200,2016,"Open collars are a new political uniform from Washington to Whitehall. But is it a trend or a tactic? Trump vs. the Disappearing Tie","",1,1,"Trump"
"90",2653,8198,80726,2016,"For a gauge of his temper, gaze at his tresses. The Citrusy Mystery of Trump’s Hair","",1,1,"Trump"
"91",2669,8338,80866,2016,"Like it or not, hair is a hot subject in elections these days. But it’s no longer just an issue for women. Why François Hollande’s $10,000 Hair Is Good News for Hillary Clinton","",1,1,"Clinton"
"92",2785,96251,82153,2016,"The Texas senator, wearing cowboy boots, joined a dozen children to make matzo at the Chabad Neshama Center in Brighton Beach. He just happened to mention Jerusalem. Ted Cruz Makes the Rounds, and Matzo, in Brooklyn","",1,1,"Cruz"
"93",2797,9765,82293,2016,"The candidate’s choice of a sharp contrast to Senator Bernie Sanders’s dark suit made its own argument. Hillary Clinton’s Message in a Jacket","",1,1,"Clinton"
"94",2797,9765,82293,2016,"The candidate’s choice of a sharp contrast to Senator Bernie Sanders’s dark suit made its own argument. Hillary Clinton’s Message in a Jacket","",1,1,"Sanders"
"95",2815,99191,82447,2016,"From Marco Rubio’s “cute boots” to Donald J. Trump’s taxes, our reporters covered it all. Here’s a look at some of our favorite Times Insider stories from this unprecedented election. Tales from the Trails: An Insider Look at the 2016 Presidential Campaign","",1,1,"Rubio"
"96",2837,10066,82594,2016,"Excitement at Donald J. Trump’s victory was confined not merely to the distant, vast American territory of the Waffle House. On Staten Island, Pantsuit Nation Met Its Match","",1,1,"Clinton"
"97",2855,101591,82687,2016,"The connection between the suffragists’ chosen color and some of Mrs. Clinton’s recent clothing has produced a campaign of its own. On Election Day, the Hillary Clinton White Suit Effect","",1,1,"Clinton"
"98",2856,10161,82689,2016,"The group’s stated goal is to express support for Hillary Clinton, but it has also served as a forum to discuss issues raised by Donald J. Trump’s rhetoric. Pantsuit Nation, a ‘Secret’ Facebook Hub, Celebrates Clinton","",1,1,"Clinton"
"99",2882,10309,82837,2016,"The designer and the candidate are forging a public alliance that could be image-changing. Is Ralph Lauren Going to Be Hillary Clinton’s Dresser in Chief?","",1,1,"Clinton"
"100",2906,10444,82972,2016,"The reason many of the Trump women wore black wasn’t clear. But it made for a pointed contrast with Hillary Clinton’s white pantsuit. In the Final Presidential Debate, the Trumps Go Dark","",1,1,"Clinton"
"101",2954,10776,83304,2016,"The group was started in late October by a 33-year-old woman. The book will maintain the random feel of scrolling through a Facebook feed. Book Deal for Pantsuit Nation, Facebook Page Supporting Hillary Clinton","",1,1,"Clinton"
"102",2956,10778,83306,2016,"Some members of a pro-Hillary Clinton Facebook group are irked that the group’s founder signed a book deal based on their private community. A Book Deal for Pantsuit Nation, and Then a Backlash","",1,1,"Clinton"
"103",2996,110121,83540,2016,"Some supporters of the Democratic candidate have found comfort in Mrs. Clinton’s makeup-free look and comfortable demeanor, while others remain stung by the loss. The Hillary Clinton Selfie as Political Salve, or Weapon","",1,1,"Clinton"
"104",3046,11489,84017,2016,"Hillary Clinton and Theresa May don’t just wear the pants. They wear the skirts and dresses, too. The New Age in Power Dressing","",1,1,"Clinton"
"105",3057,11558,84086,2016,"Men are not exempt from the political dress game, and on Wednesday the vice-presidential candidate played his role to perfection. Tim Kaine’s Dad Style Makes a Statement in Philadelphia","",1,1,"Kaine"
"106",3078,11780,84308,2016,"The event is inspiring all manner of side wagers: a 40 percent chance that Donald Trump will say “Crooked Hillary,” for instance. Red Tie and No Kiss? What Bettors Expect in the Clinton-Trump Debate","",1,1,"Trump"
"107",3123,120841,84612,2016,"Chris Christie and Rudy Giuliani once had pride. Now they have an orange overlord. Donald Trump’s Pathetic Fraternity","",1,1,"Trump"
"108",3125,121021,84630,2016,"Yes, the Republican nominee wears Brioni — as well as suits by the Brooklyn tailor Martin Greenfield. The Mystery of Trump’s Suits, Solved","",1,1,"Trump"
"109",3158,123781,84906,2016,"The word is an epithet and an honorific, and will cling to the back of Hillary Clinton’s smart pantsuits forever. The Bitch America Needs","",1,1,"Clinton"
"110",3163,12427,84955,2016,"The Democratic race is heating up, but she has already won a major battle: Clothes are no longer part of the conversation. How Hillary Clinton Ended the Clothing Conversation","",1,1,"Clinton"
"111",3166,12457,84985,2016,"Mr. Rubio’s conspicuously manly talk has come as his Republican opponents have tried to infantilize or even feminize him. Boots? Marco Rubio Wants to Talk Guns and Football","",1,1,"Rubio"
"112",3193,12672,85200,2016,"The Republican candidates debated without the sulky orange-haired front-runner. Trump was probably wise to skip it. My Take on the Republican Debate, Minus Trump","",1,1,"Trump"
"113",3205,12761,85289,2016,"A surprising focus on the candidate’s stack-heeled ankle boots has grown over the last few days into one of the weirder flaps of the campaign. Marco Rubio’s Shiny Boots Stir Up the Presidential Race","",1,1,"Rubio"
"114",3208,12779,85307,2016,"The political reporter Michael Barbaro writes about the dust-up the presidential candidate Marco Rubio kicked up with his new boots. Marco Rubio’s ‘Cute Boots’ and Other Campaign Issues","",1,1,"Rubio"
"115",3218,12825,85353,2016,"Senator Marco Rubio of Florida seemed both disgusted and amused by the worldwide attention that have bee given to his sleek high-heel boots. Marco Rubio Reacts to Those Boots That Were Made for Talking","",1,1,"Rubio"
"116",3410,710,95090,2019,"Sleepy Joe versus insomniac Don. The Corn Is as High as Donald Trump’s Tie","",1,1,"Trump"
"117",3601,2301,96681,2019,"New details of spending on President Trump’s inaugural two years ago show that it roughly doubled that of his immediate predecessors. At Trump’s Inauguration, $10,000 for Makeup and Lots of Room Service","",1,1,"Trump"
"118",3777,37471,98127,2019,"The Democratic presidential candidate has made white the staple of debate night appearances. It leaves a chill. Tulsi Gabbard’s White Pantsuit Isn’t Winning","",1,1,"Gabbard"
"119",3839,4259,98639,2019,"The tartan tie choice leaves debate viewers in a tizzy every time — but he has a reason. Why Tom Steyer Wears a Tartan Tie","",1,1,"Steyer"
"120",3912,5008,99388,2020,"It’s a small but telling detail in The Times’s exposé on the president’s taxes. Trump Took $70,000 in Tax Deductions for Hair Care. Experts Say That’s Illegal.","",1,1,"Trump"
"121",3930,5075,99455,2020,"It was a night of somber, serious suits and signals for both Kamala Harris and Mike Pence. Then the bug arrived. When a Fly Ruins Your Image","",1,1,"Harris"
"122",3930,5075,99455,2020,"It was a night of somber, serious suits and signals for both Kamala Harris and Mike Pence. Then the bug arrived. When a Fly Ruins Your Image","",1,1,"Pence"
"123",4179,67461,101126,2020,"After the campaign rally in Tulsa, an accessory becomes a symbol. Trump, (Tie) Undone","",1,1,"Trump"
"124",4278,7509,101889,2020,"At the Democratic National Convention, change is the message in all sort of ways. Kamala Harris Goes Beyond the White Pantsuit","",1,1,"Harris"
